id,rest_id,date,time
1,6845378,02/28/2019,02:15:00
2,4726460,02/23/2019,03:00:00
3,5548100,03/15/2019,10:30:00
4,7101274,02/13/2019,05:30:00
5,5454199,03/26/2019,02:15:00
6,1199538,03/18/2019,09:15:00
7,2023905,03/17/2019,09:00:00
8,2372901,01/05/2019,01:15:00
9,2016538,01/18/2019,03:15:00
10,7890765,01/14/2019,06:15:00
11,8966557,01/17/2019,10:15:00
12,5216808,01/24/2019,04:15:00
13,6056362,01/08/2019,01:30:00
14,4218003,01/19/2019,02:30:00
15,6197527,03/08/2019,10:30:00
16,791592,01/02/2019,08:15:00
17,7885923,01/19/2019,03:30:00
18,1705215,01/02/2019,04:15:00
19,733987,03/10/2019,08:15:00
20,6160259,03/12/2019,05:15:00
21,7039699,01/03/2019,10:00:00
22,212625,01/07/2019,03:15:00
23,1074810,02/28/2019,02:15:00
24,6255981,01/04/2019,08:00:00
25,2063449,01/23/2019,07:30:00
26,3069521,01/13/2019,06:15:00
27,2648984,03/04/2019,06:30:00
28,2350568,01/10/2019,01:15:00
29,1814458,01/12/2019,04:30:00
30,9323365,03/05/2019,04:00:00
31,4831196,02/23/2019,04:00:00
32,4536098,01/04/2019,04:00:00
33,2570071,02/14/2019,02:00:00
34,663579,01/26/2019,01:30:00
35,6297084,01/10/2019,05:30:00
36,7292992,03/03/2019,04:15:00
37,5504191,03/16/2019,08:15:00
38,1581161,03/03/2019,10:15:00
39,7347355,03/01/2019,05:15:00
40,5500416,03/07/2019,09:00:00
41,5884451,03/19/2019,08:15:00
42,4106154,01/27/2019,07:15:00
43,4229223,01/07/2019,05:00:00
44,8503022,03/19/2019,07:15:00
45,7984419,03/08/2019,01:15:00
46,5736871,03/16/2019,03:15:00
47,5667811,02/06/2019,06:30:00
48,3979628,01/22/2019,03:30:00
49,1823078,02/22/2019,03:30:00
50,6789466,01/11/2019,06:15:00
51,2995988,01/05/2019,07:30:00
52,6917339,03/02/2019,10:00:00
53,667723,02/12/2019,05:15:00
54,9594117,02/18/2019,10:00:00
55,5717957,03/17/2019,02:30:00
56,2015530,03/13/2019,01:00:00
57,3356283,03/17/2019,03:00:00
58,1044499,03/27/2019,01:15:00
59,5884659,03/02/2019,04:30:00
